occupation_id,skill_id,importance,competency_type,nos_code,source_id
OCC013,SKL001,High,Core,ELF/N3110,SRC004
OCC013,SKL003,High,Technical,ELF/N3110,SRC004
OCC013,SKL004,Medium,Planning,ELF/N3110,SRC004
OCC013,SKL005,High,Technical,ELF/N3110,SRC004
OCC013,SKL006,Medium,Technical,ELF/N3110,SRC004
OCC013,SKL007,High,Technical,ELF/N3110,SRC004
OCC001,SKL008,High,Technical,AGR/N0801,SRC003
OCC002,SKL009,Medium,Occupational,AMH/N1001,SRC003
OCC003,SKL008,High,Technical,AMH/N0102,SRC003
OCC003,SKL010,High,Compliance,AMH/N0103,SRC003
