source_id,source_name,organization,dataset_name,dataset_description,source_url,download_url,publication_date,retrieval_date,coverage_start,coverage_end,geographic_coverage,data_type,license_or_usage_note,source_status
SRC001,PLFS Annual Report 2025,Ministry of Statistics and Programme Implementation (MoSPI),Periodic Labour Force Survey Annual Report 2025,Annual labour force indicators based on usual status (ps+ss) for persons aged 15 years and above,https://www.mospi.gov.in/uploads/latestReleases/latest_release_1774607827733_3e8964a9-268b-4cc9-ad65-cfc8a9e32f08_Press_note_AR_PLFS_2025_23032025_V2.1_26032026_final.pdf,Not directly downloadable,2026-03-27,2026-09-11,2025-01-01,2025-12-31,All India and States/UTs,Official Government Statistics,Government Open Data,Active
SRC002,PLFS Monthly Bulletin December 2025,Ministry of Statistics and Programme Implementation (MoSPI),Periodic Labour Force Survey Monthly Bulletin December 2025,Monthly labour force indicators under Current Weekly Status (CWS) approach for December 2025,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2214908,Not directly downloadable,2026-01-15,2026-09-11,2025-12-01,2025-12-31,All India,Rural/Urban,Official Government Statistics,Government Open Data,Active
SRC003,NSDC Qualification Packs,National Skill Development Corporation (NSDC),Revised Applicable Job Roles for PMKVY FY 2018-20,List of Qualification Packs with sector, QP code, NSQF level and theory hours,https://www.nsdcindia.org/sites/default/files/Revised%20applicable%20Job%20Roles%20for%20PMKVY%20FY%202018-20.pdf,Direct PDF download,2018-01-01,2026-09-11,2018-01-01,2020-12-31,All India,Sector-QP Mapping,NSDC Public Document,Active (for reference)
SRC004,NSDC QP Field Technician Washing Machine,National Skill Development Corporation (NSDC),Qualifications Pack for Field Technician – Washing Machine,Detailed QP with NOS codes performance criteria and nomenclature,https://www.nsdcindia.org/sites/default/files/QP_ELE-Q3106_Field-Technician-Washing-Machine_0.pdf,Direct PDF download,Not specified,2026-09-11,Not specified,Not specified,All India,QP-NOS Detail,NSDC Public Document,Active
SRC005,PMKVY 4.0 Maharashtra Training Centres,Ministry of Skill Development and Entrepreneurship (MSDE),Details of Training Centres under PMKVY 4.0 in Maharashtra as on 31.12.2025,District-wise training centre locations job roles and sectors for Maharashtra,https://www.msde.gov.in/static/uploads/2026/02/0f281c5abff96ba777c826107ba11715.pdf,Direct PDF download,2026-02-02,2026-09-11,2025-12-31,2025-12-31,Maharashtra,Training Centre Data,Government Open Data,Active
SRC006,NCS Portal Statistics,Ministry of Labour and Employment,National Career Service Portal Employment Facilitation Statistics,Aggregate statistics on jobseekers employers and vacancies mobilised,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2223849,Not directly downloadable,2026-02-05,2026-09-11,2025-04-01,2026-01-20,All India,Employment Portal Statistics,Official Government Statistics,Government Open Data,Active
SRC007,PLFS State and District Codes,Ministry of Statistics and Programme Implementation (MoSPI),PLFS State and District Code Mapping,Official state and district codes used in PLFS microdata,https://newdata.opencity.in/dataset/periodic-labour-force-survey-plfs-2024/resource/373a4921-d68e-44ed-b663-110b083a00f4,Direct CSV download,2025-11-27,2026-09-11,2024-01-01,2024-12-31,All India,Code Mapping,Open Data,Active
SRC008,DGT ITI Course Data,Directorate General of Training (DGT),Craftsmen Training Scheme (CTS) Course Details,ITI trade courses with NSQF levels and duration,https://dgt.gov.in/,Not directly downloadable,2025-01-01,2026-09-11,2025-01-01,2026-08-29,All India,Course Data,Government Open Data,Active
SRC009,Maharashtra DVET ITI Data,Directorate of Vocational Education and Training Maharashtra,Government ITI Trade and Intake Capacity Data,Trade-wise intake capacity and admission data for Government ITIs in Maharashtra,https://nagpur.dvet.gov.in/,Not directly downloadable,2025-05-15,2026-09-11,2024-01-01,2025-12-31,Maharashtra,ITI Infrastructure,Government Open Data,Active
SRC010,Skill India Digital Hub,Ministry of Skill Development and Entrepreneurship (MSDE),Skill India Digital Hub Course Catalogue,Aggregate platform statistics and course ecosystem information,https://www.skillindiadigital.gov.in/,Not directly downloadable,2026-04-14,2026-09-11,2023-09-13,2026-09-11,All India,Platform Statistics,Government Open Data,Active
