occupation_id,occupation_name,qp_code,qp_title,sector_skill_council,nsqf_level,qp_status,nos_code,nos_title,nos_status,source_id,source_url,publication_year,observed_or_derived,confidence,notes
OCC_001,Assistant Beauty Therapist,BWS/Q0101,Assistant Beauty Therapist,Beauty & Wellness,3,CURRENT,BWS/N0102,Provide basic skin care services,CURRENT,SRC_030,https://nqr.gov.in/sites/default/files/BWSQ0101_Assistant_Beauty_Therapist.pdf,2022,OBSERVED,HIGH,PwD variant PWD/BWS/Q0101 also exists
OCC_001,Assistant Beauty Therapist,BWS/Q0101,Assistant Beauty Therapist,Beauty & Wellness,3,CURRENT,BWS/N0125,Perform simple makeup services,CURRENT,SRC_030,https://nqr.gov.in/sites/default/files/BWSQ0101_Assistant_Beauty_Therapist.pdf,2022,OBSERVED,HIGH,
OCC_001,Assistant Beauty Therapist,BWS/Q0101,Assistant Beauty Therapist,Beauty & Wellness,3,CURRENT,BWS/N0126,Provide simple hair dressing services,CURRENT,SRC_030,https://nqr.gov.in/sites/default/files/BWSQ0101_Assistant_Beauty_Therapist.pdf,2022,OBSERVED,HIGH,
OCC_002,Assistant Hair Stylist,BWS/Q0201,Assistant Hair Stylist,Beauty & Wellness,3,CURRENT,BWS/N0201,Shampoo and condition hair and scalp,CURRENT,SRC_031,https://www.nsdcindia.org/nos-listing/4.html,2019,OBSERVED,HIGH,PwD variant PWD/BWS/Q0201 exists
OCC_002,Assistant Hair Stylist,BWS/Q0201,Assistant Hair Stylist,Beauty & Wellness,3,CURRENT,BWS/N0202,Blow dry hair,CURRENT,SRC_031,https://www.nsdcindia.org/nos-listing/4.html,2019,OBSERVED,HIGH,
OCC_002,Assistant Hair Stylist,BWS/Q0201,Assistant Hair Stylist,Beauty & Wellness,3,CURRENT,BWS/N0203,Provide basic haircuts,CURRENT,SRC_031,https://www.nsdcindia.org/nos-listing/4.html,2019,OBSERVED,HIGH,
OCC_003,Bar Bender and Steel Fixer,CON/Q0203,Bar Bender and Steel Fixer,Construction,4,CURRENT,CON/N0201,Read and understand drawings/Bar Bending Schedule,CURRENT,SRC_012,https://www.csdcindia.org/sites/default/files/CONQ0203_Bar_Bender_and_Steel_Fixer.pdf,2021,OBSERVED,HIGH,
OCC_003,Bar Bender and Steel Fixer,CON/Q0203,Bar Bender and Steel Fixer,Construction,4,CURRENT,CON/N0202,Use hand and power tools for cutting/bending,CURRENT,SRC_012,https://www.csdcindia.org/sites/default/files/CONQ0203_Bar_Bender_and_Steel_Fixer.pdf,2021,OBSERVED,HIGH,
OCC_003,Bar Bender and Steel Fixer,CON/Q0203,Bar Bender and Steel Fixer,Construction,4,CURRENT,CON/N0203,Fabricate/place/fix reinforcement bars,CURRENT,SRC_012,https://www.csdcindia.org/sites/default/files/CONQ0203_Bar_Bender_and_Steel_Fixer.pdf,2021,OBSERVED,HIGH,
OCC_004,Beauty Therapist,PWD/BWS/Q0102,Beauty Therapist,Beauty & Wellness,4,CURRENT,BWS/N0104,Perform skin care services,CURRENT,SRC_009,https://nsdcindia.org/sites/default/files/PWD_BWSQ0102_Beauty_Therapist_v2_15_02_2019.pdf,2019,OBSERVED,HIGH,PwD-adapted; originating QP BWS/Q0102
