occupation_id,occupation_name,qp_code,nos_code,skill_id,skill_name,original_competency,mapping_method,mapping_source,source_id,source_url,confidence,observed_or_derived,mapping_explanation,notes
OCC_006,CNC Operator – Machining Technician,ASC/Q3501,ASC/N3502,SK_CNC,CNC Machining,Operate CNC machine to machine parts as per specifications,QP_NOS,NSDC QP ASC/Q3501,SRC_001,https://nsdcindia.org/sites/default/files/ASCQ3501_CNC_Operator_Machining_Technician_L3_v1_09.05.2018.pdf,HIGH,DERIVED,NOS explicitly covers CNC machine operation; canonical skill "CNC Machining" directly represents this competency,Existing Kaushora skill
OCC_006,CNC Operator – Machining Technician,ASC/Q3501,ASC/N3501,SK_QUALITY,Quality Control,Ensure machine is set up correctly before operations,QP_NOS,NSDC QP ASC/Q3501,SRC_001,https://nsdcindia.org/sites/default/files/ASCQ3501_CNC_Operator_Machining_Technician_L3_v1_09.05.2018.pdf,MEDIUM,DERIVED,Pre-machining quality check maps to quality control,Existing Kaushora skill
OCC_010,Electrician,PWD/CON/Q0602,CON/N0602,SK_ELECTRICAL,Electrical Work,Use tools safely and efficiently,QP_NOS,NSDC QP PWD/CON/Q0602,SRC_003,https://nsdcindia.org/sites/default/files/PWD_CON-Q0602_Assistant-Electrician_15_02_2019.pdf,HIGH,DERIVED,Electrical tool usage is core electrical work competency,Existing Kaushora skill
OCC_010,Electrician,PWD/CON/Q0602,CON/N0603,SK_SAFETY,Safety Management,Install lighting as per requirements,QP_NOS,NSDC QP PWD/CON/Q0602,SRC_003,https://nsdcindia.org/sites/default/files/PWD_CON-Q0602_Assistant-Electrician_15_02_2019.pdf,HIGH,DERIVED,Temporary lighting installation requires safety compliance,Existing Kaushora skill
OCC_033,Welder,CON/Q1252,CON/N1253,SK_WELDING,Welding,Complete MIG welds in specified positions,QP_NOS,NSDC QP CON/Q1252,SRC_005,https://nsdcindia.org/sites/default/files/CONQ1252_Construction_Welder_v2.0_03_09_2021.pdf,HIGH,DERIVED,MIG welding is directly evidenced in NOS,Existing Kaushora skill
OCC_033,Welder,CON/Q1252,CON/N1206,SK_GRINDING,Grinding,Grind surfaces as per specifications,QP_NOS,NSDC QP CON/Q1252,SRC_005,https://nsdcindia.org/sites/default/files/CONQ1252_Construction_Welder_v2.0_03_09_2021.pdf,HIGH,DERIVED,Grinding is explicitly listed NOS competency,NEW_SKILL_CANDIDATE
OCC_030,Solar Technician,SGJ/Q0601,SGJ/N0602,SK_SOLAR,Solar Installation,Commission system and test functionality,QP_NOS,NSDC QP SGJ/Q0601,SRC_006,https://www.nsdcindia.org/sites/default/files/QP_SGJ-Q0601_Solar_Domestic_Water_Heater_Technician.pdf,HIGH,DERIVED,Solar water heater installation is core competency,Existing Kaushora skill (Green-tech)
OCC_030,Solar Technician,SGJ/Q0601,SGJ/N0603,SK_MAINTENANCE,Preventive Maintenance,Identify and fix faults,QP_NOS,NSDC QP SGJ/Q0601,SRC_006,https://www.nsdcindia.org/sites/default/files/QP_SGJ-Q0601_Solar_Domestic_Water_Heater_Technician.pdf,HIGH,DERIVED,Maintenance of solar systems maps to preventive maintenance,Existing Kaushora skill
OCC_017,Hair Stylist,BWS/Q0202,BWS/N0203,SK_HAIRCUT,Hair Cutting,Perform haircuts,QP_NOS,NSDC QP BWS/Q0202,SRC_010,https://nsdcindia.org/sites/default/files/BWSQ0202_Hair_Stylist_v2_07_02_2019.pdf,HIGH,DERIVED,Haircutting is directly evidenced,NEW_SKILL_CANDIDATE
OCC_017,Hair Stylist,BWS/Q0202,BWS/N0204,SK_HAIRCOLOR,Hair Colouring,Treat and colour hair,QP_NOS,NSDC QP BWS/Q0202,SRC_010,https://nsdcindia.org/sites/default/files/BWSQ0202_Hair_Stylist_v2_07_02_2019.pdf,HIGH,DERIVED,Hair colouring is explicitly listed,NEW_SKILL_CANDIDATE
OCC_017,Hair Stylist,BWS/Q0202,BWS/N0201,SK_HAIRCARE,Hair Care,Perform shampoo and conditioning,QP_NOS,NSDC QP BWS/Q0202,SRC_010,https://nsdcindia.org/sites/default/files/BWSQ0202_Hair_Stylist_v2_07_02_2019.pdf,HIGH,DERIVED,Shampoo/conditioning maps to hair care,NEW_SKILL_CANDIDATE
OCC_004,Beauty Therapist,PWD/BWS/Q0102,BWS/N0104,SK_SKINCARE,Skin Care,Deliver treatments as per client needs,QP_NOS,NSDC QP PWD/BWS/Q0102,SRC_009,https://nsdcindia.org/sites/default/files/PWD_BWSQ0102_Beauty_Therapist_v2_15_02_2019.pdf,HIGH,DERIVED,Skin care services explicitly evidenced,NEW_SKILL_CANDIDATE
OCC_004,Beauty Therapist,PWD/BWS/Q0102,BWS/N0106,SK_MAKEUP,Makeup Application,Deliver makeup services,QP_NOS,NSDC QP PWD/BWS/Q0102,SRC_009,https://nsdcindia.org/sites/default/files/PWD_BWSQ0102_Beauty_Therapist_v2_15_02_2019.pdf,HIGH,DERIVED,Makeup services explicitly evidenced,NEW_SKILL_CANDIDATE
OCC_004,Beauty Therapist,PWD/BWS/Q0102,BWS/N0401,SK_NAILCARE,Nail Care,Deliver manicure and pedicure,QP_NOS,NSDC QP PWD/BWS/Q0102,SRC_009,https://nsdcindia.org/sites/default/files/PWD_BWSQ0102_Beauty_Therapist_v2_15_02_2019.pdf,HIGH,DERIVED,Manicure/pedicure explicitly evidenced,NEW_SKILL_CANDIDATE
OCC_008,Dairy Farmer/Entrepreneur,PWD/AGR/Q4101,AGR/N4105,SK_MILKING,Milking,Complete milking hygienically,QP_NOS,NSDC QP PWD/AGR/Q4101,SRC_011,https://nsdcindia.org/sites/default/files/PWDAGRQ4101_Dairy_Farmer_Entrepreneur_v1_04_11_2019.pdf,HIGH,DERIVED,Milking operation is core dairy competency,NEW_SKILL_CANDIDATE
OCC_008,Dairy Farmer/Entrepreneur,PWD/AGR/Q4101,AGR/N4103,SK_ANIMALFEED,Animal Feed Management,Provide feed and water as per schedule,QP_NOS,NSDC QP PWD/AGR/Q4101,SRC_011,https://nsdcindia.org/sites/default/files/PWDAGRQ4101_Dairy_Farmer_Entrepreneur_v1_04_11_2019.pdf,HIGH,DERIVED,Feed management is explicit NOS competency,NEW_SKILL_CANDIDATE
OCC_003,Bar Bender and Steel Fixer,CON/Q0203,CON/N0201,SK_BBS,Bar Bending Schedule,Read and apply BBS,QP_NOS,NSDC QP CON/Q0203,SRC_012,https://www.csdcindia.org/sites/default/files/CONQ0203_Bar_Bender_and_Steel_Fixer.pdf,HIGH,DERIVED,BBS reading is core competency,NEW_SKILL_CANDIDATE
